EraID,EraNarrative,EventID,EventNarrative,EventDifficulty,OptionID,OptionText,OptionTag,PositiveOutcomeText,NegativeOutcomeText,PositivePS_Change,NegativePS_Change,PositiveStable_Change,NegativeStable_Change
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E10,"A difficult ethical choice confronted the people of <CityName>, forcing its leaders to weigh tradition, survival, compassion, and long-term consequences.",MORAL DILEMMA,O3,asked the clans to vote collectively on the morally ambiguous issue.,Unique,"The act of collective decision-making reinforces trust in community processes. Even those who disagree feel heard, strengthening the tribe’s unity.","The vote divides the tribe sharply, creating winners and losers in a matter of principle. Resentment lingers long after the decision is made.",+8,-7,3,-3
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E10,"A difficult ethical choice confronted the people of <CityName>, forcing its leaders to weigh tradition, survival, compassion, and long-term consequences.",MORAL DILEMMA,O4,consulted the ancestral rites to determine what action was deemed righteous.,Unique,"The ritual provides clarity — a symbolic message or omen convinces the tribe of a righteous path. Shared faith becomes a guiding force, easing tension.","The ritual yields no clear sign, leading clans to interpret the silence differently. Conflicting beliefs erupt as each group insists their interpretation is true.",+11,-9,4,-4
Stone-Bronze,"<CityName> began as a small community surviving through simple tools, shared labour, and ancestral guidance. Basic farming, early metalwork, and cautious exploration support daily life, but resources remained limited. Every choice shaped whether <CityName> could grow into a stable settlement or struggled against scarcity, conflict, and the uncertainties of early development.",E10,"A difficult ethical choice confronted the people of <CityName>, forcing its leaders to weigh tradition, survival, compassion, and long-term consequences.",MORAL DILEMMA,O5,chose a pragmatic solution even if it challenged long-held traditions.,Unique,"The bold choice leads to stability and improved survival, proving that adaptability can strengthen the tribe. Though not universally loved, the decision wins respect over time.",The abandonment of tradition upsets elders and spiritual leaders. The tribe becomes divided between those who embrace change and those who cling to ancient ways.,+7,-6,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E1,"Despite the splendour of the Classical age, scarcity threatened civilisation as drought, failing mines, or disrupted trade routes strain supplies and test public confidence.",RESOURCE SHORTAGE,O1,Redirect state labour to restore farmlands and irrigation canals.,Unique,"Farmers and engineers restore ancient canals and expand irrigation networks. Crops begin to recover as water returns to the fields, reassuring citizens that the state remains capable of protecting their livelihood. Public confidence rises in the government’s competence.","Labourers clash with landowners over property rights, delaying repairs. Seasonal rains arrive too late, and the fields fail to recover. Citizens accuse the government of mismanaging both manpower and time.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E1,"Despite the splendour of the Classical age, scarcity threatened civilisation as drought, failing mines, or disrupted trade routes strain supplies and test public confidence.",RESOURCE SHORTAGE,O2,Send envoys to neighbouring kingdoms to secure emergency trade shipments.,Unique,"Diplomats return with favourable agreements, acquiring grain and metals at a modest cost. Foreign merchants praise your civilisation’s stability, and the relief shipments calm unrest in the capital.","Envoys are rebuffed or exploited; rival rulers sense desperation and demand outrageous terms. Caravans return empty, and citizens grow suspicious of foreign powers and the state’s diplomacy.",+9,-7,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E1,"Despite the splendour of the Classical age, scarcity threatened civilisation as drought, failing mines, or disrupted trade routes strain supplies and test public confidence.",RESOURCE SHORTAGE,O3,Impose temporary rationing laws enforced by city magistrates.,Unique,"Though strict, the rationing system ensures fair distribution. Citizens, seeing equal sacrifice across all classes, accept the decree and unite under a renewed sense of civic duty.","Magistrates abuse their authority, hoarding supplies for elites. Riots break out in poorer districts, and rumours of corruption spread faster than food. Rationing becomes a symbol of state failure.",+8,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E1,"Despite the splendour of the Classical age, scarcity threatened civilisation as drought, failing mines, or disrupted trade routes strain supplies and test public confidence.",RESOURCE SHORTAGE,O4,Expand mining operations into unexplored hills and quarries.,Unique,"Surveyors uncover rich veins of ore that invigorate industry and trade. The discovery sparks optimism as artisans and smiths resume full-scale production, strengthening the economy.","The new mines prove barren or dangerous. Several collapses cause casualties, angering families and triggering investigations into negligence. Productivity drops further under fear and mourning.",+11,-10,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E1,"Despite the splendour of the Classical age, scarcity threatened civilisation as drought, failing mines, or disrupted trade routes strain supplies and test public confidence.",RESOURCE SHORTAGE,O5,Appeal to philosophers and scholars to devise new efficiency methods.,Unique,"Academics propose innovative storage, agricultural, and distribution practices. Their ideas spread quickly through cities and farms, inspiring reforms that stretch resources further than expected.","Scholars disagree bitterly, and their theoretical debates solve nothing. Citizens mock the intellectual class for being out of touch, widening the divide between thinkers and labourers.",+7,-6,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E2,"Philosophers, generals, priests, and merchants clash over values and the direction of the state. Ideological divides threaten the harmony of the republic or kingdom.",CULTURAL SCHISM,O1,Host a public forum where citizens debate openly under magistrate supervision.,Unique,"The forum becomes a celebration of reasoned discourse. Citizens feel heard, tempers ease, and the shared pursuit of knowledge rekindles unity across factions.","The forum spirals into shouting and personal attacks. Factions leave more entrenched than before, and the forum becomes a symbol of civic dysfunction.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E2,"Philosophers, generals, priests, and merchants clash over values and the direction of the state. Ideological divides threaten the harmony of the republic or kingdom.",CULTURAL SCHISM,O2,Commission respected philosophers to write doctrines promoting unity.,Unique,"The doctrines spread through academies and marketplaces, persuading citizens that harmony strengthens the state. A new cultural revival follows.","Rival schools of thought dispute the doctrines, each claiming the others distort truth. Citizens divide along intellectual lines, deepening the schism.",+9,-7,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E2,"Philosophers, generals, priests, and merchants clash over values and the direction of the state. Ideological divides threaten the harmony of the republic or kingdom.",CULTURAL SCHISM,O3,Hold athletic festivals to shift focus from ideology to shared civic pride.,Unique,"Athletes from every region compete honorably, and crowds cheer as one people. The spectacle renews civic pride and distracts from ideological conflicts.","The games highlight regional rivalries instead of easing them. Accusations of cheating ignite fights, converting celebration into chaos.",+8,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E2,"Philosophers, generals, priests, and merchants clash over values and the direction of the state. Ideological divides threaten the harmony of the republic or kingdom.",CULTURAL SCHISM,O4,Invite religious leaders to mediate philosophical disputes.,Unique,"Religious leaders help bridge differing values, emphasizing moral principles shared across groups. Their guidance brings calm and renewed respect for tradition.","Priests favour certain factions, sparking accusations of corruption. Religious authority fractures, amplifying the ideological conflict.",+11,-9,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E2,"Philosophers, generals, priests, and merchants clash over values and the direction of the state. Ideological divides threaten the harmony of the republic or kingdom.",CULTURAL SCHISM,O5,Allow each faction temporary autonomy to follow its own customs.,Unique,"Granting space reduces immediate tension, and citizens appreciate the state’s flexibility. Over time, factions find common ground through voluntary cooperation.","Autonomy deepens ideological separation. Factions grow rigid, developing distinct identities that undermine the unity of the civilisation.",+7,-6,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E3,"A surge in trade, production, or discovery brings sudden wealth. Prosperity elevates the state but may also fuel extravagance or internal competition.",ECONOMIC BOOM,O1,Host a grand festival celebrating prosperity and civic achievement.,Unique,"Citizens gather in theatres, plazas, and markets to celebrate shared success. The festival strengthens civic pride and reminds all that prosperity belongs to everyone.","The festival becomes overly lavish, draining treasuries and angering poorer citizens who see the wealth gap widening. Resentment spreads beneath the celebrations.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E3,"A surge in trade, production, or discovery brings sudden wealth. Prosperity elevates the state but may also fuel extravagance or internal competition.",ECONOMIC BOOM,O2,Invest surplus wealth into expanding libraries and academies.,Unique,"New academies attract scholars from distant lands. Knowledge flourishes, advancements multiply, and the state's prestige rises among neighbouring civilisations.","Funds are mismanaged or stolen. Construction halts, scholars depart, and citizens accuse officials of corruption, casting suspicion over the entire boom.",+11,-9,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E3,"A surge in trade, production, or discovery brings sudden wealth. Prosperity elevates the state but may also fuel extravagance or internal competition.",ECONOMIC BOOM,O3,Expand trade fleets and merchant caravans to amplify returns.,Unique,"Trade routes flourish as caravans return with exotic goods, rare metals, and lucrative deals. Wealth flows steadily, solidifying the state's growing influence.","Pirates and bandits target your expanded trade routes. Several shipments vanish, triggering panic among merchants and destabilizing the once-thriving economy.",+9,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E3,"A surge in trade, production, or discovery brings sudden wealth. Prosperity elevates the state but may also fuel extravagance or internal competition.",ECONOMIC BOOM,O4,Reduce taxes temporarily to encourage economic movement.,Unique,"Lower taxes invigorate commerce. Citizens praise the government’s generosity, and markets flourish as artisans, farmers, and traders thrive.","Revenue drops too sharply, weakening military upkeep and public services. Citizens begin doubting the state's ability to balance generosity with responsibility.",+8,-6,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E3,"A surge in trade, production, or discovery brings sudden wealth. Prosperity elevates the state but may also fuel extravagance or internal competition.",ECONOMIC BOOM,O5,"Commission new roads, aqueducts, and public structures.",Unique,"Infrastructure expands dramatically, creating jobs and transforming the urban landscape. Future generations will benefit from the flourishing civic projects.","Overambitious projects overextend resources, leaving many structures unfinished. Citizens ridicule the failed monuments as signs of leadership hubris.",+12,-10,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E4,"Senators, generals, or governors challenge central authority. Power struggles threaten stability and endanger the unity of the classical state.",LEADERSHIP CRISIS,O1,Call an emergency senate session to negotiate power disputes.,Unique,Debates run long but produce a compromise that satisfies rival blocs. Citizens regain trust as the government demonstrates its ability to resolve crises through reason.,"The senate erupts into chaos as factions accuse each other of treason. Negotiations fail, and the public witnesses a humiliating collapse of political order.",+11,-10,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E4,"Senators, generals, or governors challenge central authority. Power struggles threaten stability and endanger the unity of the classical state.",LEADERSHIP CRISIS,O2,Empower a respected general to temporarily unify command.,Unique,"The general restores discipline with swift authority. Military order stabilises the state, preventing unrest from consuming the capital.","The general oversteps, gaining too much influence. Citizens fear a slide toward tyranny, and senators plot in secret to counter the growing threat.",+9,-8,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E4,"Senators, generals, or governors challenge central authority. Power struggles threaten stability and endanger the unity of the classical state.",LEADERSHIP CRISIS,O3,Rally the people through public speeches and civic demonstrations.,Unique,"Citizens gather in plazas to hear inspiring speeches. Their renewed patriotism pressures political rivals into cooperation, restoring balance in the state.","Crowds become unpredictable, and demonstrations turn violent. Opposing factions exploit the unrest, dragging the state deeper into instability.",+8,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E4,"Senators, generals, or governors challenge central authority. Power struggles threaten stability and endanger the unity of the classical state.",LEADERSHIP CRISIS,O4,Establish a council of philosophers to guide decision-making.,Unique,"The philosopher-council offers measured, ethical solutions that impress both citizens and leaders. Their wisdom helps defuse political tensions.","Philosophers disagree publicly, revealing ideological divides that embarrass the state. Citizens mock the council as elite dreamers disconnected from real governance.",+10,-9,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E4,"Senators, generals, or governors challenge central authority. Power struggles threaten stability and endanger the unity of the classical state.",LEADERSHIP CRISIS,O5,Offer amnesty to rebels and dissenters who pledge loyalty to the state.,Unique,"The offer draws many dissenters back into the fold, reducing the risk of civil conflict. Citizens praise the leadership’s mercy and foresight.","Some rebels feign loyalty while plotting in secret. The state’s leniency is interpreted as weakness, emboldening those who seek to overthrow central authority.",+7,-6,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E5,New mathematical insights were uncovered. Their impact depends on how the state chooses to apply them.,TECHNOLOGICAL BREAKTHROUGH,O1,Commission engineers to demonstrate the invention publicly.,Unique,"Citizens marvel at the engineering display as the invention proves reliable and transformative. Confidence in state innovation grows, inspiring new waves of curiosity and ambition.","The demonstration fails dramatically—devices malfunction or collapse. The public's embarrassment turns to doubt, weakening faith in the state's technological leadership.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E5,New mathematical insights were uncovered. Their impact depends on how the state chooses to apply them.,TECHNOLOGICAL BREAKTHROUGH,O2,Invite scholars and artisans to refine the breakthrough collaboratively.,Unique,"Scholars improve theoretical models while artisans perfect practical designs. The innovation becomes a polished achievement, boosting both prestige and productivity.","Scholars clash over methodology while artisans argue over credit. The project stagnates as collaboration breaks down, delaying progress and draining resources.",+11,-9,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E5,New mathematical insights were uncovered. Their impact depends on how the state chooses to apply them.,TECHNOLOGICAL BREAKTHROUGH,O3,Use the invention for state military advancements.,Unique,"Generals integrate the breakthrough into strategic planning, giving your army a decisive advantage. Citizens feel safer knowing the state guards them with superior knowledge.","The invention proves unstable in combat trials. A catastrophic failure injures soldiers, stirring backlash against reckless experimentation.",+9,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E5,New mathematical insights were uncovered. Their impact depends on how the state chooses to apply them.,TECHNOLOGICAL BREAKTHROUGH,O4,Share the breakthrough across academies to inspire wider learning.,Unique,"Academies flourish as students and thinkers expand upon the new discovery. A cultural renaissance blooms, elevating your civilisation's intellectual prestige.","Widespread access sparks plagiarism, competition, and disputes among scholars. Rival academies accuse each other of theft, eroding academic unity.",+8,-6,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E5,New mathematical insights were uncovered. Their impact depends on how the state chooses to apply them.,TECHNOLOGICAL BREAKTHROUGH,O5,Keep the breakthrough secret while testing its full potential.,Unique,"In secret workshops, engineers perfect the invention, eventually revealing a refined marvel that astonishes the nation and strengthens your strategic advantage.","Rumours spread of forbidden knowledge and hidden labs. Citizens grow suspicious, and political rivals accuse the state of overreaching, destabilising trust.",+12,-10,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E6,"Earthquakes, fires, droughts, or floods strike your civilisation, testing its infrastructure and unity.",NATURAL DISASTER,O1,"Mobilise engineers to reinforce walls, aqueducts, and public structures.",Unique,"Teams of builders and engineers stabilise infrastructure just in time. Citizens praise the swift response, and the damage is contained before it spreads.","Reinforcement efforts come too late. Key structures collapse, causing casualties and eroding the population’s confidence in state protection.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E6,"Earthquakes, fires, droughts, or floods strike your civilisation, testing its infrastructure and unity.",NATURAL DISASTER,O2,Evacuate citizens to rural estates and temples outside the danger zone.,Unique,"The evacuation is orderly and efficient, saving countless lives. Rural communities welcome refugees, strengthening bonds across regions.","The evacuation becomes chaotic. Crowded roads and poor coordination trigger panic, leading to injuries and mistrust in government command.",+9,-7,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E6,"Earthquakes, fires, droughts, or floods strike your civilisation, testing its infrastructure and unity.",NATURAL DISASTER,O3,Hold religious rites asking the gods for protection and mercy.,Unique,"Citizens gather in temples to offer prayers and sacrifices, finding unity and calm. The rites give hope, helping the population endure hardship.","Priests disagree on the correct rites, causing confusion and fear. Citizens question divine favour and blame the priesthood for misinterpreting omens.",+8,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E6,"Earthquakes, fires, droughts, or floods strike your civilisation, testing its infrastructure and unity.",NATURAL DISASTER,O4,Deploy the army to maintain order and deliver emergency aid.,Unique,"Soldiers act with discipline and compassion, restoring order and delivering supplies. Their presence reassures citizens and prevents looting.","Some soldiers abuse their authority or prioritize elite districts. Complaints spread rapidly, igniting outrage and damaging military reputation.",+11,-9,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E6,"Earthquakes, fires, droughts, or floods strike your civilisation, testing its infrastructure and unity.",NATURAL DISASTER,O5,Create emergency granaries and water reserves for public use.,Unique,"The reserves sustain the population throughout the disaster. Citizens praise the state’s foresight, and famine is averted.","Supplies are insufficient or poorly guarded. Thieves raid the reserves, causing shortages and intensifying unrest.",+7,-6,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E7,"A diplomatic dispute, border provocation, or misunderstood action from a neighbouring civilisation threatens peace.",FOREIGN RELATIONS INCIDENT,O1,Send diplomats bearing tribute and requests for peaceful negotiation.,Unique,"Diplomats are received warmly, and tribute softens foreign attitudes. A new treaty forms, easing tensions and restoring diplomatic balance.","The offering is rejected as weakness. The neighbouring state grows more hostile, seeing an opportunity to pressure your borders.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E7,"A diplomatic dispute, border provocation, or misunderstood action from a neighbouring civilisation threatens peace.",FOREIGN RELATIONS INCIDENT,O2,Stage a grand military parade to demonstrate strength without declaring war.,Unique,The parade impresses foreign envoys and reassures citizens. The show of power deters further provocations while maintaining peace.,Foreign leaders misinterpret the display as preparation for war. Tensions escalate as both sides increase military readiness.,+9,-7,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E7,"A diplomatic dispute, border provocation, or misunderstood action from a neighbouring civilisation threatens peace.",FOREIGN RELATIONS INCIDENT,O3,"Invite foreign philosophers, merchants, and dignitaries to cultural exchange events.",Unique,The exchange softens relations as visitors enjoy hospitality and witness your civilisation’s achievements. Trade and dialogue flourish.,"Cultural misunderstandings ignite offence. Debates turn heated, and dignitaries leave insulted, worsening the crisis.",+8,-7,3,-3
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E7,"A diplomatic dispute, border provocation, or misunderstood action from a neighbouring civilisation threatens peace.",FOREIGN RELATIONS INCIDENT,O4,Increase border patrols and fortify frontier outposts.,Unique,"Stronger defences discourage incursions, allowing diplomats time to resolve disputes. Citizens feel safer knowing the state is vigilant.","A minor border encounter turns violent, triggering retaliation. The region destabilises, and the threat of war intensifies.",+11,-9,4,-4
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E7,"A diplomatic dispute, border provocation, or misunderstood action from a neighbouring civilisation threatens peace.",FOREIGN RELATIONS INCIDENT,O5,Host competitive games between your finest athletes and theirs.,Unique,"The shared games build camaraderie as athletes bond across borders. Friendly rivalry replaces hostility, renewing trust between nations.",National pride sparks conflict; accusations of cheating spiral out of control. Diplomatic relations worsen as the games end in discord.,+7,-6,5,-5
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E8,"Growing cities strain under class tensions, rival guilds, and political clubs. Competing interests threaten to fracture civic unity.",INTERNAL CONFLICT,O1,Create a council of guilds to negotiate disputes formally.,Unique,"The guilds meet under structured dialogue, finally airing grievances in a civil manner. Compromise becomes possible, and productivity rises as tensions cool.","Rival guilds use the council as a stage for power plays. Old disagreements ignite into fresh feuds, worsening the struggle for influence within the city.",+10,-8,1,-1
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E8,"Growing cities strain under class tensions, rival guilds, and political clubs. Competing interests threaten to fracture civic unity.",INTERNAL CONFLICT,O2,Deploy magistrates to mediate disputes directly in the streets.,Unique,The presence of magistrates reassures citizens and discourages violence. Their impartial rulings restore a sense of order and fairness.,"Magistrates are accused of favoritism, fueling resentment. Crowds begin resisting their authority, escalating rather than resolving conflict.",+9,-7,2,-2
Classical,"<CityName> had strengthened into an organised society with structured laws, wider trade, and a growing intellectual life. Roads and alliances had expanded its reach, while diplomacy and conflict reshaped its borders. Prosperity had risen, but so had rivalries and debates over authority. How <CityName> balanced ambition and stability ultimately determined its path through this transformative age.",E8,"Growing cities strain under class tensions, rival guilds, and political clubs. Competing interests threaten to fracture civic unity.",INTERNAL CONFLICT,O3,Fund a public works project to provide employment and reduce tensions.,Unique,"New jobs ease competition and ease resentment among the lower classes. The project becomes a symbol of civic unity, improving morale across districts.","Costs balloon and supplies vanish under corruption. Workers riot after payment delays, turning a hopeful project into a political disaster.",+8,-7,3,-3
